date,rides
2016-07-07,190
2016-07-08,345
2016-07-09,421
2016-07-10,334
2016-07-11,350
2016-07-12,533
2016-07-13,535
2016-07-14,570
2016-07-15,484
2016-07-16,412
2016-07-17,354
2016-07-18,433
2016-07-19,496
2016-07-20,488
2016-07-21,540
2016-07-22,471
2016-07-23,338
2016-07-24,350
2016-07-25,535
2016-07-26,480
2016-07-27,534
2016-07-28,547
2016-07-29,614
2016-07-30,511
2016-07-31,555
2016-08-01,633
2016-08-02,765
2016-08-03,763
2016-08-04,862
2016-08-05,862
2016-08-06,778
2016-08-07,867
2016-08-08,715
2016-08-09,754
2016-08-10,821
2016-08-11,942
2016-08-12,832
2016-08-13,839
2016-08-14,1022
2016-08-15,646
2016-08-16,747
2016-08-17,727
2016-08-18,735
2016-08-19,785
2016-08-20,796
2016-08-21,783
2016-08-22,731
2016-08-23,877
2016-08-24,763
2016-08-25,838
2016-08-26,861
2016-08-27,730
2016-08-28,606
2016-08-29,635
2016-08-30,719
2016-08-31,719
2016-09-01,775
2016-09-02,837
2016-09-03,701
2016-09-04,584
2016-09-05,650
2016-09-06,668
2016-09-07,675
2016-09-08,697
2016-09-09,757
2016-09-10,644
2016-09-11,561
2016-09-12,635
2016-09-13,693
2016-09-14,709
2016-09-15,758
2016-09-16,779
2016-09-17,781
2016-09-18,615
2016-09-19,584
2016-09-20,629
2016-09-21,600
2016-09-22,724
2016-09-23,687
2016-09-24,575
2016-09-25,523
2016-09-26,517
2016-09-27,578
2016-09-28,585
2016-09-29,645
2016-09-30,700
2016-10-01,592
2016-10-02,495
2016-10-03,623
2016-10-04,630
2016-10-05,676
2016-10-06,651
2016-10-07,747
2016-10-08,541
2016-10-09,549
2016-10-10,550
2016-10-11,528
2016-10-12,582
2016-10-13,655
2016-10-14,586
2016-10-15,455
2016-10-17,404
2016-10-18,561
2016-10-19,589
2016-10-20,587
2016-10-21,596
2016-10-22,489
2016-10-23,446
2016-10-24,482
2016-10-25,547
2016-10-26,548
2016-10-27,573
2016-10-28,604
2016-10-29,540
2016-10-30,328
2016-10-31,520
2016-11-01,558
2016-11-02,635
2016-11-03,599
2016-11-04,643
2016-11-05,496
2016-11-06,525
2016-11-07,510
2016-11-08,554
2016-11-09,538
2016-11-10,609
2016-11-11,549
2016-11-12,651
2016-11-13,420
2016-11-14,578
2016-11-15,468
2016-11-16,530
2016-11-17,550
2016-11-18,547
2016-11-19,505
2016-11-20,208
2016-11-21,441
2016-11-22,500
2016-11-23,451
2016-11-24,251
2016-11-25,321
2016-11-26,236
2016-11-27,292
2016-11-28,360
2016-11-29,440
2016-11-30,462
2016-12-01,476
2016-12-02,427
2016-12-03,388
2016-12-04,349
2016-12-05,370
2016-12-06,428
2016-12-07,447
2016-12-08,492
2016-12-09,453
2016-12-10,400
2016-12-11,293
2016-12-12,398
2016-12-13,390
2016-12-14,445
2016-12-15,287
2016-12-16,302
2016-12-17,347
2016-12-18,246
2016-12-19,385
2016-12-20,380
2016-12-21,282
2016-12-22,309
2016-12-23,240
2016-12-24,167
2016-12-25,147
2016-12-26,230
2016-12-27,378
2016-12-28,384
2016-12-29,370
2016-12-30,236
2016-12-31,166
2017-01-01,273
2017-01-02,262
2017-01-03,331
2017-01-04,359
2017-01-05,237
2017-01-06,366
2017-01-07,282
2017-01-08,423
2017-01-09,309
2017-01-10,247
2017-01-11,327
2017-01-12,176
2017-01-13,335
2017-01-14,332
2017-01-15,273
2017-01-16,304
2017-01-17,334
2017-01-18,307
2017-01-19,337
2017-01-20,170
2017-01-21,764
2017-01-22,70
2017-01-23,203
2017-01-24,314
2017-01-25,339
2017-01-26,424
2017-01-27,386
2017-01-28,603
2017-01-29,434
2017-01-30,380
2017-01-31,446
2017-02-01,419
2017-02-02,406
2017-02-03,244
2017-02-04,397
2017-02-05,273
2017-02-06,205
2017-02-07,223
2017-02-08,377
2017-02-09,400
2017-02-10,223
2017-02-11,320
2017-02-12,336
2017-02-13,399
2017-02-14,454
2017-02-15,401
2017-02-16,411
2017-02-17,79
2017-02-18,335
2017-02-19,270
2017-02-20,263
2017-02-21,344
2017-02-22,438
2017-02-23,399
2017-02-24,479
2017-02-25,349
2017-02-26,284
2017-02-27,402
2017-02-28,403
2017-03-01,397
2017-03-02,415
2017-03-03,422
2017-03-04,399
2017-03-05,324
2017-03-06,376
2017-03-07,434
2017-03-08,475
2017-03-09,470
2017-03-10,537
2017-03-11,447
2017-03-12,436
2017-03-13,444
2017-03-14,514
2017-03-15,511
2017-03-16,489
2017-03-17,498
2017-03-18,384
2017-03-19,459
2017-03-20,412
2017-03-21,305
2017-03-22,463
2017-03-23,456
2017-03-24,511
2017-03-25,419
2017-03-26,511
2017-03-27,376
2017-03-28,486
2017-03-29,518
2017-03-30,490
2017-03-31,528
2017-04-01,419
2017-04-02,461
2017-04-03,413
2017-04-04,431
2017-04-05,486
2017-04-06,531
2017-04-07,508
2017-04-08,393
2017-04-09,379
2017-04-10,442
2017-04-11,419
2017-04-12,534
2017-04-13,480
2017-04-14,533
2017-04-15,489
2017-04-16,317
2017-04-17,430
2017-04-18,474
2017-04-19,438
2017-04-20,511
2017-04-21,499
2017-04-22,649
2017-04-23,369
2017-04-24,390
2017-04-25,437
2017-04-26,454
2017-04-27,453
2017-04-28,554
2017-04-29,501
2017-04-30,465
2017-05-01,486
2017-05-02,500
2017-05-03,543
2017-05-04,529
2017-05-05,658
2017-05-06,447
2017-05-07,315
2017-05-08,519
2017-05-09,562
2017-05-10,636
2017-05-11,702
2017-05-12,710
2017-05-13,534
2017-05-14,454
2017-05-15,580
2017-05-16,667
2017-05-17,635
2017-05-18,781
2017-05-19,770
2017-05-20,612
2017-05-21,635
2017-05-22,672
2017-05-23,743
2017-05-24,801
2017-05-25,743
2017-05-26,859
2017-05-27,587
2017-05-28,658
2017-05-29,633
2017-05-30,679
2017-05-31,730
2017-06-01,679
2017-06-02,747
2017-06-03,620
2017-06-04,480
2017-06-05,617
2017-06-06,642
2017-06-07,674
2017-06-08,598
2017-06-09,682
2017-06-10,505
2017-06-11,476
2017-06-12,651
2017-06-13,633
2017-06-14,658
2017-06-15,720
2017-06-16,691
2017-06-17,508
2017-06-18,406
2017-06-19,556
2017-06-20,686
2017-06-21,649
2017-06-22,691
2017-06-23,681
2017-06-24,490
2017-06-25,461
2017-06-26,691
2017-06-27,691
2017-06-28,709
2017-06-29,651
2017-06-30,736
2017-07-01,532
2017-07-02,481
2017-07-03,494
2017-07-04,503
2017-07-05,598
2017-07-06,656
2017-07-07,544
2017-07-08,427
2017-07-09,394
2017-07-10,532
2017-07-11,610
2017-07-12,614
2017-07-13,617
2017-07-14,836
2017-07-15,667
2017-07-16,705
2017-07-17,832
2017-07-18,983
2017-07-19,914
2017-07-20,896
2017-07-21,862
2017-07-22,794
2017-07-23,725
2017-07-24,843
2017-07-25,858
2017-07-26,827
2017-07-27,977
2017-07-28,918
2017-07-29,730
2017-07-30,733
2017-07-31,984
2017-08-01,838
2017-08-02,867
2017-08-03,922
2017-08-04,893
2017-08-05,891
2017-08-06,714
2017-08-07,807
2017-08-08,837
2017-08-09,813
2017-08-10,855
2017-08-11,958
2017-08-12,798
2017-08-13,970
2017-08-14,843
2017-08-15,880
2017-08-16,836
2017-08-17,833
2017-08-18,808
2017-08-19,775
2017-08-20,732
2017-08-21,839
2017-08-22,837
2017-08-23,830
2017-08-24,816
2017-08-25,835
2017-08-26,664
2017-08-27,593
2017-08-28,702
2017-08-29,777
2017-08-30,730
2017-08-31,714
2017-09-01,643
2017-09-02,588
2017-09-03,540
2017-09-04,618
2017-09-05,736
2017-09-06,775
2017-09-07,890
2017-09-08,973
2017-09-09,880
2017-09-10,827
2017-09-11,866
2017-09-12,832
2017-09-13,899
2017-09-14,935
2017-09-15,951
2017-09-16,914
2017-09-17,893
2017-09-18,917
2017-09-19,923
2017-09-20,842
2017-09-21,797
2017-09-22,963
2017-09-23,910
2017-09-24,762
2017-09-25,845
2017-09-26,902
2017-09-27,877
2017-09-28,848
2017-09-29,836
2017-09-30,862
2017-10-01,821
2017-10-02,870
2017-10-03,853
2017-10-04,823
2017-10-05,827
2017-10-06,942
2017-10-07,904
2017-10-09,750
2017-10-10,905
2017-10-11,893
2017-10-12,864
2017-10-13,914
2017-10-14,863
2017-10-15,817
2017-10-16,842
2017-10-17,844
2017-10-18,896
2017-10-19,882
2017-10-20,946
2017-10-21,1051
2017-10-22,863
2017-10-23,830
2017-10-24,812
2017-10-25,824
2017-10-26,799
2017-10-27,913
2017-10-28,868
2017-10-29,744
2017-10-30,719
2017-10-31,726
2017-11-01,804
2017-11-02,810
2017-11-03,824
2017-11-04,944
2017-11-05,847
2017-11-06,781
2017-11-07,846
2017-11-08,814
2017-11-09,739
2017-11-10,781
2017-11-11,770
2017-11-12,581
2017-11-13,725
2017-11-14,801
2017-11-15,776
2017-11-16,824
2017-11-17,826
2017-11-18,820
2017-11-19,753
2017-11-20,714
2017-11-21,811
2017-11-22,746
2017-11-23,575
2017-11-24,693
2017-11-25,781
2017-11-26,595
2017-11-27,640
2017-11-28,617
2017-11-29,674
2017-11-30,720
2017-12-01,746
2017-12-02,740
2017-12-03,505
2017-12-04,704
2017-12-05,658
2017-12-06,710
2017-12-07,698
2017-12-08,661
2017-12-09,712
2017-12-10,1305
2017-12-11,683
2017-12-12,698
2017-12-13,588
2017-12-14,678
2017-12-15,708
2017-12-16,572
2017-12-17,620
2017-12-18,621
2017-12-19,786
2017-12-20,551
2017-12-21,582
2017-12-22,520
2017-12-23,512
2017-12-24,440
2017-12-25,469
2017-12-26,589
2017-12-27,693
2017-12-28,647
2017-12-29,844
2017-12-30,739
2017-12-31,779
2018-01-01,781
2018-01-02,765
2018-01-03,717
2018-01-04,736
2018-01-05,742
2018-01-06,608
2018-01-07,670
2018-01-08,287
2018-01-09,245
2018-01-10,643
2018-01-11,662
2018-01-12,741
2018-01-13,867
2018-01-14,808
2018-01-15,795
2018-01-16,726
2018-01-17,730
2018-01-18,727
2018-01-19,717
2018-01-20,916
2018-01-21,687
2018-01-22,651
2018-01-23,750
2018-01-24,744
2018-01-25,640
2018-01-26,845
2018-01-27,1000
2018-01-28,843
2018-01-29,707
2018-01-30,787
2018-01-31,684
2018-02-01,777
2018-02-02,809
2018-02-03,934
2018-02-04,593
2018-02-05,769
2018-02-06,789
2018-02-07,826
2018-02-08,776
2018-02-09,730
2018-02-10,782
2018-02-11,839
2018-02-12,649
2018-02-13,688
2018-02-14,660
2018-02-15,736
2018-02-16,810
2018-02-17,870
2018-02-18,828
2018-02-19,449
2018-02-20,644
2018-02-21,625
2018-02-22,647
2018-02-23,618
2018-02-24,611
2018-02-25,673
2018-02-26,616
2018-02-27,626
2018-02-28,613
2018-03-01,722
2018-03-02,264
2018-03-03,612
2018-03-04,696
2018-03-05,819
2018-03-06,927
2018-03-07,653
2018-03-08,929
2018-03-09,935
2018-03-10,306
2018-03-11,712
2018-03-12,833
2018-03-13,710
2018-03-14,878
2018-03-15,956
2018-03-16,671
2018-03-17,801
2018-03-18,669
2018-03-19,884
2018-03-20,795
2018-03-21,488
2018-03-22,227
2018-03-23,816
2018-03-24,972
2018-03-25,828
2018-03-26,746
2018-03-27,938
2018-03-28,925
2018-03-29,841
2018-03-30,851
2018-03-31,775
2018-04-01,643
2018-04-02,824
2018-04-03,849
2018-04-04,731
2018-04-05,831
2018-04-06,837
2018-04-07,911
2018-04-08,886
2018-04-09,796
2018-04-10,900
2018-04-11,818
2018-04-12,740
2018-04-13,813
2018-04-14,861
2018-04-15,661
2018-04-16,716
2018-04-17,838
2018-04-18,788
2018-04-19,662
2018-04-20,860
2018-04-21,910
2018-04-22,1278
2018-04-23,837
2018-04-24,871
2018-04-25,857
2018-04-26,891
2018-04-27,889
2018-04-28,878
2018-04-29,778
2018-04-30,709
2018-05-01,712
2018-05-02,813
2018-05-03,913
2018-05-04,1018
2018-05-05,967
2018-05-06,882
2018-05-07,822
2018-05-08,901
2018-05-09,893
2018-05-10,947
2018-05-11,753
2018-05-12,686
2018-05-13,688
2018-05-14,877
2018-05-15,866
2018-05-16,814
2018-05-17,1041
2018-05-18,911
2018-05-19,741
2018-05-20,664
2018-05-21,660
2018-05-22,926
2018-05-23,857
2018-05-24,781
2018-05-25,632
2018-05-26,933
2018-05-27,987
2018-05-28,917
2018-05-29,921
2018-05-30,721
2018-05-31,871
2018-06-01,923
2018-06-02,963
2018-06-03,768
2018-06-04,935
2018-06-05,960
2018-06-06,911
2018-06-07,868
2018-06-08,889
2018-06-09,895
2018-06-10,865
2018-06-11,822
2018-06-12,1014
2018-06-13,935
2018-06-14,875
2018-06-15,890
2018-06-16,709
2018-06-17,643
2018-06-18,845
2018-06-19,882
2018-06-20,897
2018-06-21,922
2018-06-22,964
2018-06-23,920
2018-06-24,782
2018-06-25,834
2018-06-26,975
2018-06-27,862
2018-06-28,877
2018-06-29,894
2018-06-30,860
2018-07-01,723
2018-07-02,769
2018-07-03,934
2018-07-04,1209
2018-07-05,799
2018-07-06,720
2018-07-07,668
2018-07-08,678
2018-07-09,863
2018-07-10,920
2018-07-11,851
2018-07-12,1008
2018-07-13,1035
2018-07-14,1036
2018-07-15,1020
2018-07-16,1002
2018-07-17,1089
2018-07-18,1069
2018-07-19,1124
2018-07-20,1189
2018-07-21,998
2018-07-22,961
2018-07-23,970
2018-07-24,1005
2018-07-25,983
2018-07-26,1103
2018-07-27,1136
2018-07-28,1171
2018-07-29,1050
2018-07-30,1157
2018-07-31,1110
2018-08-01,1180
2018-08-02,1183
2018-08-03,1186
2018-08-04,1192
2018-08-05,1216
2018-08-06,1071
2018-08-07,1082
2018-08-08,1036
2018-08-09,1041
2018-08-10,1044
2018-08-11,1128
2018-08-12,1000
2018-08-13,1086
2018-08-14,1055
2018-08-15,1012
2018-08-16,1171
2018-08-17,1140
2018-08-18,1222
2018-08-19,1161
2018-08-20,1052
2018-08-21,966
2018-08-22,987
2018-08-23,962
2018-08-24,1074
2018-08-25,1060
2018-08-26,1006
2018-08-27,955
2018-08-28,984
2018-08-29,946
2018-08-30,1043
2018-08-31,1087
2018-09-01,1202
2018-09-02,1259
2018-09-03,1144
2018-09-04,855
2018-09-05,910
2018-09-06,992
2018-09-07,1031
2018-09-08,962
2018-09-09,874
2018-09-10,981
2018-09-11,1063
2018-09-12,1059
2018-09-13,1038
2018-09-14,995
2018-09-15,1016
2018-09-16,978
2018-09-17,920
2018-09-18,1001
2018-09-19,1015
2018-09-20,1021
2018-09-21,1127
2018-09-22,1033
2018-09-23,857
2018-09-24,974
2018-09-25,1029
2018-09-26,858
2018-09-27,895
2018-09-28,1040
2018-09-29,982
NA,813
